sujetId,lienWikidata
16,http://www.wikidata.org/entity/Q229390
128,http://www.wikidata.org/entity/Q188473
138,http://www.wikidata.org/entity/Q735478
139,http://www.wikidata.org/entity/Q735478
443,
633,http://www.wikidata.org/entity/Q455620
634,http://www.wikidata.org/entity/Q455620
763,
764,http://www.wikidata.org/entity/Q202866
765,http://www.wikidata.org/entity/Q202866
766,http://www.wikidata.org/entity/Q202866
770,
772,http://www.wikidata.org/entity/Q28834881
773,
775,http://www.wikidata.org/entity/Q28834881
776,http://www.wikidata.org/entity/Q202866
779,http://www.wikidata.org/entity/Q202866
819,
820,
968,
970,http://www.wikidata.org/entity/Q1135802
971,http://www.wikidata.org/entity/Q1135802
998,http://www.wikidata.org/entity/Q1033891
1293,http://www.wikidata.org/entity/Q319221
1294,http://www.wikidata.org/entity/Q319221
1302,
1303,
1591,http://www.wikidata.org/entity/Q645928
1592,http://www.wikidata.org/entity/Q645928
1593,http://www.wikidata.org/entity/Q645928
2053,http://www.wikidata.org/entity/Q222639
2149,http://www.wikidata.org/entity/Q846544
2414,http://www.wikidata.org/entity/Q972417
2595,
2596,
2886,http://www.wikidata.org/entity/Q5145881
2940,http://www.wikidata.org/entity/Q157443
2945,http://www.wikidata.org/entity/Q157443
2947,http://www.wikidata.org/entity/Q170238
2948,http://www.wikidata.org/entity/Q1548170
3274,http://www.wikidata.org/entity/Q24862
3306,http://www.wikidata.org/entity/Q959790
3307,http://www.wikidata.org/entity/Q959790
3352,
3364,
3409,http://www.wikidata.org/entity/Q3072043
3410,http://www.wikidata.org/entity/Q3072043
3411,http://www.wikidata.org/entity/Q3072043
3513,
3514,http://www.wikidata.org/entity/Q28968511
3515,http://www.wikidata.org/entity/Q28968511
3652,http://www.wikidata.org/entity/Q622370
3653,http://www.wikidata.org/entity/Q622370
3656,http://www.wikidata.org/entity/Q93204
3657,http://www.wikidata.org/entity/Q93204
3658,http://www.wikidata.org/entity/Q93204
3708,http://www.wikidata.org/entity/Q130232
3805,
3855,http://www.wikidata.org/entity/Q596138
3856,http://www.wikidata.org/entity/Q596138
3956,http://www.wikidata.org/entity/Q15416
3982,http://www.wikidata.org/entity/Q2143665
3985,http://www.wikidata.org/entity/Q2143665
3986,
3988,http://www.wikidata.org/entity/Q2143665
4052,http://www.wikidata.org/entity/Q5398426
4055,http://www.wikidata.org/entity/Q200092
4056,http://www.wikidata.org/entity/Q200092
4073,http://www.wikidata.org/entity/Q599558
4074,http://www.wikidata.org/entity/Q599558
4076,http://www.wikidata.org/entity/Q599558
4100,http://www.wikidata.org/entity/Q2297927
4101,http://www.wikidata.org/entity/Q2297927
4154,http://www.wikidata.org/entity/Q58415294
4212,http://www.wikidata.org/entity/Q790192
4213,http://www.wikidata.org/entity/Q790192
4283,http://www.wikidata.org/entity/Q1361932
4299,http://www.wikidata.org/entity/Q3092278
4301,http://www.wikidata.org/entity/Q2973181
4302,http://www.wikidata.org/entity/Q2973181
4420,http://www.wikidata.org/entity/Q5398426
4433,http://www.wikidata.org/entity/Q12912091
4434,http://www.wikidata.org/entity/Q8253
4888,
5198,http://www.wikidata.org/entity/Q7444356
5536,http://www.wikidata.org/entity/Q369747
5538,http://www.wikidata.org/entity/Q369747
5691,
5704,http://www.wikidata.org/entity/Q17013749
5733,http://www.wikidata.org/entity/Q1361932
5798,http://www.wikidata.org/entity/Q157443
5890,http://www.wikidata.org/entity/Q188575
5938,http://www.wikidata.org/entity/Q459290
5940,http://www.wikidata.org/entity/Q459290
5981,
6008,http://www.wikidata.org/entity/Q1358344
6038,
6168,
6319,
6355,http://www.wikidata.org/entity/Q2143665
6357,http://www.wikidata.org/entity/Q2143665
6365,http://www.wikidata.org/entity/Q846662
6368,
6423,
6831,http://www.wikidata.org/entity/
6871,
7042,
7190,http://www.wikidata.org/entity/Q2118696
7192,http://www.wikidata.org/entity/Q2118696
7298,
7299,
7300,
7323,http://www.wikidata.org/entity/Q191489
7613,
7615,
7876,http://www.wikidata.org/entity/Q842256
7881,
7883,
8399,http://www.wikidata.org/entity/Q188575
8428,http://www.wikidata.org/entity/Q16909344
8429,http://www.wikidata.org/entity/Q16909344
8851,http://www.wikidata.org/entity/Q1433443
9009,http://www.wikidata.org/entity/Q2096633
9065,http://www.wikidata.org/entity/Q2101714
9076,http://www.wikidata.org/entity/Q2973201
9077,http://www.wikidata.org/entity/Q2973201
9078,http://www.wikidata.org/entity/Q2973201
9107,http://www.wikidata.org/entity/Q185529
9108,http://www.wikidata.org/entity/Q185529
9668,http://www.wikidata.org/entity/Q1935609
9700,http://www.wikidata.org/entity/Q1869909
9701,http://www.wikidata.org/entity/Q1869909
9702,http://www.wikidata.org/entity/Q1869909
9704,http://www.wikidata.org/entity/Q1869909
9756,
10006,http://www.wikidata.org/entity/Q9259727
10007,http://www.wikidata.org/entity/Q9259727
10008,http://www.wikidata.org/entity/Q9259727
10152,http://www.wikidata.org/entity/Q628165
10196,http://www.wikidata.org/entity/Q1054574
10430,
10433,
10506,http://www.wikidata.org/entity/Q471839
10507,http://www.wikidata.org/entity/Q471839
10511,http://www.wikidata.org/entity/Q1760864
10516,
10517,
10518,
10625,http://www.wikidata.org/entity/Q5398426
10626,http://www.wikidata.org/entity/Q5398426
10664,
10762,http://www.wikidata.org/entity/Q336144
11083,http://www.wikidata.org/entity/Q1339864
11488,
11613,http://www.wikidata.org/entity/Q182415
11651,http://www.wikidata.org/entity/Q2388283
11662,
11695,http://www.wikidata.org/entity/Q506240
11794,http://www.wikidata.org/entity/Q2484376
11795,http://www.wikidata.org/entity/Q2484376
12051,
12053,
12329,http://www.wikidata.org/entity/Q2137852
12346,http://www.wikidata.org/entity/Q336181
12417,http://www.wikidata.org/entity/Q34508
12444,http://www.wikidata.org/entity/Q677466
12551,
12552,
12575,
12629,http://www.wikidata.org/entity/Q172980
12630,http://www.wikidata.org/entity/Q172980
13360,
13520,http://www.wikidata.org/entity/Q188473
13522,http://www.wikidata.org/entity/Q202866
13523,http://www.wikidata.org/entity/Q202866
13524,http://www.wikidata.org/entity/Q1135802
13527,http://www.wikidata.org/entity/Q2381394
13528,http://www.wikidata.org/entity/Q596138
13529,
13532,http://www.wikidata.org/entity/Q7444356
13533,http://www.wikidata.org/entity/Q17013749
13534,http://www.wikidata.org/entity/Q157443
13535,
13536,http://www.wikidata.org/entity/Q1760864
13537,
13538,http://www.wikidata.org/entity/Q200751
13539,http://www.wikidata.org/entity/Q2101714
13540,http://www.wikidata.org/entity/Q1869909
13541,http://www.wikidata.org/entity/Q1046057
13542,http://www.wikidata.org/entity/Q336144
13543,http://www.wikidata.org/entity/Q2605607
13548,
13550,
13552,
13558,http://www.wikidata.org/entity/Q193977
13574,http://www.wikidata.org/entity/Q56317165
13575,http://www.wikidata.org/entity/Q17175676
13576,http://www.wikidata.org/entity/Q202866
13577,
13579,http://www.wikidata.org/entity/Q870889
13580,
13581,
13582,http://www.wikidata.org/entity/Q2850055
13610,http://www.wikidata.org/entity/Q12912091
13812,http://www.wikidata.org/entity/Q157443
13815,http://www.wikidata.org/entity/Q2973181
13817,http://www.wikidata.org/entity/Q369747
13818,http://www.wikidata.org/entity/Q17013749
13819,
13820,
13821,http://www.wikidata.org/entity/Q1760864
13823,http://www.wikidata.org/entity/Q2101714
13825,http://www.wikidata.org/entity/Q1054574
13826,http://www.wikidata.org/entity/Q471839
13827,http://www.wikidata.org/entity/Q336144
13828,
13829,http://www.wikidata.org/entity/Q1339864
13830,http://www.wikidata.org/entity/Q2484376
13832,http://www.wikidata.org/entity/Q2137852
13833,http://www.wikidata.org/entity/Q172980
13834,
13839,
13851,http://www.wikidata.org/entity/Q1054574
13990,
13991,
13992,
14003,http://www.wikidata.org/entity/Q200092
14020,http://www.wikidata.org/entity/Q599558
14021,http://www.wikidata.org/entity/Q628165
14177,http://www.wikidata.org/entity/Q130232
14409,
14519,
14521,
14523,
14612,http://www.wikidata.org/entity/Q842256
15213,http://www.wikidata.org/entity/Q735478
15218,http://www.wikidata.org/entity/Q16909344
15280,
15428,
15746,http://www.wikidata.org/entity/Q2118696
16257,http://www.wikidata.org/entity/Q93204
16258,http://www.wikidata.org/entity/Q93204
16884,http://www.wikidata.org/entity/Q842256
17591,
19952,http://www.wikidata.org/entity/Q188473
19956,
19957,http://www.wikidata.org/entity/Q1135802
19958,http://www.wikidata.org/entity/Q1033891
19959,
19960,http://www.wikidata.org/entity/Q645928
19961,http://www.wikidata.org/entity/Q222639
19962,http://www.wikidata.org/entity/Q846544
19963,
19967,http://www.wikidata.org/entity/Q5145881
19972,http://www.wikidata.org/entity/Q170238
19973,http://www.wikidata.org/entity/Q959790
19974,
19975,
19977,http://www.wikidata.org/entity/Q3072043
19978,http://www.wikidata.org/entity/Q93204
19979,http://www.wikidata.org/entity/Q622370
19982,http://www.wikidata.org/entity/Q130232
19985,http://www.wikidata.org/entity/Q596138
19987,
19992,
19993,http://www.wikidata.org/entity/Q2143665
19995,http://www.wikidata.org/entity/Q5398426
19997,http://www.wikidata.org/entity/Q319221
19998,http://www.wikidata.org/entity/Q200092
20000,http://www.wikidata.org/entity/Q58415294
20002,http://www.wikidata.org/entity/Q1361932
20003,http://www.wikidata.org/entity/Q1361932
20004,http://www.wikidata.org/entity/Q2973181
20006,http://www.wikidata.org/entity/Q8253
20007,
20008,http://www.wikidata.org/entity/Q7444356
20009,http://www.wikidata.org/entity/Q369747
20010,http://www.wikidata.org/entity/Q226730
20011,
20012,
20013,http://www.wikidata.org/entity/Q459290
20014,
20015,
20016,
20017,
20018,
20019,
20020,
20021,http://www.wikidata.org/entity/Q2143665
20022,http://www.wikidata.org/entity/Q846662
20023,
20025,
20027,
20028,
20029,
20033,
20035,http://www.wikidata.org/entity/Q1760864
20038,
20039,http://www.wikidata.org/entity/Q1433443
20041,http://www.wikidata.org/entity/Q2096633
20042,http://www.wikidata.org/entity/Q2101714
20043,http://www.wikidata.org/entity/Q2973201
20044,http://www.wikidata.org/entity/Q185529
20045,http://www.wikidata.org/entity/Q1935609
20046,http://www.wikidata.org/entity/Q9259727
20047,http://www.wikidata.org/entity/Q628165
20049,
20050,
20051,http://www.wikidata.org/entity/Q471839
20052,
20053,http://www.wikidata.org/entity/Q5398426
20054,http://www.wikidata.org/entity/Q93204
20056,http://www.wikidata.org/entity/Q5398426
20060,http://www.wikidata.org/entity/Q336144
20061,
20062,http://www.wikidata.org/entity/Q1339864
20063,http://www.wikidata.org/entity/Q506240
20064,http://www.wikidata.org/entity/Q2388283
20065,
20066,http://www.wikidata.org/entity/Q2484376
20067,
20068,http://www.wikidata.org/entity/Q2137852
20069,http://www.wikidata.org/entity/Q336181
20070,http://www.wikidata.org/entity/Q193977
20071,
20072,
20073,http://www.wikidata.org/entity/Q172980
20075,http://www.wikidata.org/entity/Q157443
20076,http://www.wikidata.org/entity/Q1548170
25037,http://www.wikidata.org/entity/Q790192
25062,http://www.wikidata.org/entity/Q455620
